timestamp,TEMP (C),RH (%),Wind Speed,Wind Direction,GHI (w/m2),DNI (w/m2),DHI (w/m2)
2022-07-09-17,40,29.49,3.084576,203.3333333,445,718,86
2022-07-09-18,40.56,28.54,3.598672,201.6666667,235,560,67
2022-07-09-19,40.56,28.54,4.112768,200,52,234,30
2022-07-09-20,38.89,31.31,2.57048,200,0,0,0
2022-07-09-21,36.67,36.34,1.542288,180,0,0,0
2022-07-09-22,34.44,42.93,1.799336,185,0,0,0
2022-07-09-23,33.33,45.69,2.056384,190,0,0,0
2022-07-10-00,32.22,50.36,3.598672,200,0,0,0
2022-07-10-01,31.67,53.42,3.598672,190,0,0,0
2022-07-10-02,30.56,59.09,3.084576,200,0,0,0
2022-07-10-03,30,57.16,3.598672,200,0,0,0
2022-07-10-04,28.33,63.16,2.57048,200,0,0,0
2022-07-10-05,27.78,65.03,2.57048,200,0,0,0
2022-07-10-06,27.78,67.06,2.57048,240,46,164,31
2022-07-10-07,27.22,69.28,2.57048,225,221,486,78
2022-07-10-08,28.33,67.62,2.57048,210,428,652,105
2022-07-10-09,30.56,59.09,4.626864,220,626,744,123
2022-07-10-10,33.89,44.15,4.626864,240,793,801,134
2022-07-10-11,36.11,37.58,5.14096,220,915,837,139
2022-07-10-12,37.78,34.3,7.197344,220,919,600,330
2022-07-10-13,39.44,31.44,3.084576,220,978,837,156
2022-07-10-14,40.56,28.54,3.084576,220,877,596,323
2022-07-10-15,42.78,24.5,4.626864,350,796,778,153
2022-07-10-16,42.22,25.22,4.112768,280,632,725,139
2022-07-10-17,43.89,17.46,5.655056,330,407,438,188
2022-07-10-18,43.33,20.8,2.57048,350,175,50,160
2022-07-10-19,42.78,22.2,3.084576,20,48,150,34
2022-07-10-20,40.56,25.7,3.084576,30,0,0,0
2022-07-10-21,38.33,30.18,2.57048,30,0,0,0
2022-07-10-22,37.78,29.94,3.084576,30,0,0,0
2022-07-10-23,36.11,36.42,2.57048,170,0,0,0
2022-07-11-00,33.89,50.61,3.598672,180,0,0,0
2022-07-11-01,32.22,57.49,4.112768,190,0,0,0
2022-07-11-02,30.56,59.09,3.084576,140,0,0,0
2022-07-11-03,30,61.2,2.056384,160,0,0,0
2022-07-11-04,28.33,67.62,2.056384,140,0,0,0
2022-07-11-05,28.33,65.13,4.112768,150,0,0,0
2022-07-11-06,27.22,69.28,2.57048,130,45,160,31
2022-07-11-07,27.22,71.92,3.598672,180,222,483,80
2022-07-11-08,28.33,72.11,4.112768,180,429,648,109
2022-07-11-09,30.56,63.02,5.14096,210,627,739,129
2022-07-11-10,33.89,50.61,5.14096,200,793,791,143
2022-07-11-11,34.44,45.98,4.626864,220,914,820,153
2022-07-11-12,36.67,39.19,5.655056,210,989,879,126
2022-07-11-13,38.89,34.84,2.57048,220,989,876,128
2022-07-11-14,38.89,34.84,2.056384,193.3333333,926,858,129
2022-07-11-15,40,32.82,3.084576,166.6666667,582,266,363
2022-07-11-16,40,30.43,3.084576,140,187,4,184
2022-07-11-17,39.44,31.44,2.57048,220,358,279,218
2022-07-11-18,37.78,33.25,5.655056,220,183,372,72
2022-07-11-19,35.56,36.03,4.112768,230,40,4,40
2022-07-11-20,35.56,37.44,1.542288,210,0,0,0
2022-07-11-21,34.44,41.34,2.57048,110,0,0,0
2022-07-11-22,33.89,45.85,3.084576,160,0,0,0
2022-07-11-23,32.78,50.33,4.112768,140,0,0,0
2022-07-12-00,31.67,51.8,3.084576,130,0,0,0
2022-07-12-01,30.56,55.19,4.112768,150,0,0,0
2022-07-12-02,28.89,65.26,2.57048,180,0,0,0
2022-07-12-03,28.33,72.11,2.57048,170,0,0,0
2022-07-12-04,27.78,74.24,2.056384,200,0,0,0
2022-07-12-05,27.22,79.06,2.056384,180,0,0,0
2022-07-12-06,26.67,81.42,1.542288,170,44,165,30
2022-07-12-07,26.11,87.58,1.542288,200,224,508,76
2022-07-12-08,27.78,81.82,2.57048,190,435,680,100
2022-07-12-09,30,67.27,3.084576,126.6666667,637,775,116
2022-07-12-10,31.67,59.15,2.056384,63.33333333,806,827,127
2022-07-12-11,34.44,45.98,2.313432,171.6666667,929,859,134
2022-07-12-12,36.67,39.19,2.57048,280,902,513,398
2022-07-12-13,37.78,37,3.084576,240,993,868,141
2022-07-12-14,39.44,32.66,1.542288,166.6666667,931,854,138
2022-07-12-15,38.89,32.3,2.056384,93.33333333,803,792,149
2022-07-12-16,41.67,26.91,3.598672,20,635,732,138
2022-07-12-17,41.67,24.23,1.542288,45,434,628,120
2022-07-12-18,41.67,22.58,3.084576,70,224,448,90
2022-07-12-19,40.56,27.47,6.169152,150,46,138,34
2022-07-12-20,37.22,35.36,4.112768,150,0,0,0
2022-07-12-21,35,41.5,4.626864,170,0,0,0
2022-07-12-22,33.33,50.8,4.112768,170,0,0,0
2022-07-12-23,31.67,55.46,3.598672,190,0,0,0
2022-07-13-00,30.56,56.92,2.57048,160,0,0,0
2022-07-13-01,30,61.2,2.57048,160,0,0,0
2022-07-13-02,28.89,65.26,2.056384,160,0,0,0
2022-07-13-03,28.33,69.71,2.056384,180,0,0,0
2022-07-13-04,27.78,71.78,1.542288,180,0,0,0
2022-07-13-05,27.22,76.7,2.57048,160,0,0,0
2022-07-13-06,26.67,78.99,2.056384,165,41,123,31
2022-07-13-07,26.11,84.41,1.542288,170,215,435,89
2022-07-13-08,28.33,79.47,3.084576,190,421,606,123
2022-07-13-09,30,71.93,3.598672,190,619,702,147
2022-07-13-10,32.78,55.72,3.084576,200,786,761,161
2022-07-13-11,35,44.45,1.542288,200,909,803,165
2022-07-13-12,36.11,39.03,4.112768,200,974,829,161
2022-07-13-13,37.78,35.63,1.542288,162.5,910,553,367
2022-07-13-14,40,31.6,1.542288,125,709,229,496
2022-07-13-15,40.56,29.45,1.542288,87.5,325,2,323
2022-07-13-16,40,27.5,2.056384,50,476,157,370
2022-07-13-17,40.56,28.54,3.084576,150,426,607,124
2022-07-13-18,40.56,28.54,4.626864,180,222,446,89
2022-07-13-19,39.44,30.47,3.084576,140,46,153,33
2022-07-13-20,36.11,44.74,8.739632,150,0,0,0
2022-07-13-21,33.89,49.09,5.655056,170,0,0,0
2022-07-13-22,32.78,53.87,6.169152,180,0,0,0
2022-07-13-23,31.11,61.24,4.626864,180,0,0,0
2022-07-14-00,30.56,63.02,3.084576,180,0,0,0
2022-07-14-01,29.44,69.69,4.112768,170,0,0,0
2022-07-14-02,28.89,71.73,4.112768,160,0,0,0
2022-07-14-03,28.33,77.12,4.112768,170,0,0,0
2022-07-14-04,27.78,81.82,3.084576,150,0,0,0
2022-07-14-05,27.78,81.82,3.084576,160,0,0,0
2022-07-14-06,26.67,87.05,3.084576,150,41,133,30
2022-07-14-07,26.67,87.05,2.056384,190,215,459,83
2022-07-14-08,27.78,81.82,3.084576,190,422,629,113
2022-07-14-09,29.44,69.69,3.084576,190,614,696,147
2022-07-14-10,31.11,59.21,2.57048,155,777,746,166
2022-07-14-11,32.78,50.33,2.056384,120,895,772,181
2022-07-14-12,35,39.95,2.056384,85,831,496,345
2022-07-14-13,32.22,50.36,11.824208,50,765,405,367
2022-07-14-14,36.11,31.77,9.767824,40,860,708,202
2022-07-14-15,36.67,29.55,6.169152,70,686,450,315
2022-07-14-16,36.11,31.77,4.626864,65,614,660,166
2022-07-14-17,36.11,33.97,3.084576,60,422,588,130
2022-07-14-18,36.11,33.97,2.57048,60,119,1,119
2022-07-14-19,36.11,33.97,4.112768,110,33,0,33
2022-07-14-20,34.44,38.56,4.626864,110,0,0,0
2022-07-14-21,28.89,58.69,4.626864,130,0,0,0
2022-07-14-22,28.33,60.81,3.598672,110,0,0,0
2022-07-14-23,27.22,64.69,3.084576,120,0,0,0
2022-07-15-00,26.67,71.35,2.57048,130,0,0,0
2022-07-15-01,26.11,76.79,2.056384,130,0,0,0
2022-07-15-02,25.56,79.1,1.799336,130,0,0,0
2022-07-15-03,25.56,81.55,1.542288,130,0,0,0
2022-07-15-04,25.56,81.55,2.056384,110,0,0,0
2022-07-15-05,25,84.58,2.056384,80,0,0,0
2022-07-15-06,25,84.58,1.542288,60,39,120,30
2022-07-15-07,25,87.48,1.542288,100,213,455,83
2022-07-15-08,25.56,86.95,1.542288,140,422,638,110
2022-07-15-09,27.78,79.4,2.57048,135,622,740,126
2022-07-15-10,28.89,69.59,2.57048,160,791,800,137
2022-07-15-11,30,61.2,2.913210667,146.6666667,757,326,456
2022-07-15-12,32.22,51.93,3.255941333,133.3333333,808,335,480
2022-07-15-13,33.89,47.28,3.598672,120,166,0,166
2022-07-15-14,34.44,42.93,3.598672,140,792,404,417
2022-07-15-15,35.56,37.44,5.14096,110,453,61,402
2022-07-15-16,35,43.1,8.739632,180,615,675,157
2022-07-15-17,35.56,42.97,5.14096,140,419,577,132
2022-07-15-18,35,43.1,7.197344,150,215,401,96
2022-07-15-19,33.89,47.28,8.739632,150,42,96,34
2022-07-15-20,31.67,53.42,6.169152,150,0,0,0
2022-07-15-21,30,58.95,6.169152,170,0,0,0
2022-07-15-22,28.89,65.26,3.084576,180,0,0,0
2022-07-15-23,28.33,69.71,3.084576,160,0,0,0
2022-07-16-00,27.78,71.78,2.056384,160,0,0,0
2022-07-16-01,27.22,74.15,3.598672,180,0,0,0
2022-07-16-02,26.67,76.36,3.598672,180,0,0,0
2022-07-16-03,26.11,79.17,2.57048,190,0,0,0
